Feature,Importance
cat__Affects_Academic_Performance_Yes,0.3948192435464514
cat__Affects_Academic_Performance_No,0.37979425177267406
num__Mental_Health_Score,0.10022263023050086
num__Conflicts_Over_Social_Media,0.041144752437924724
num__Avg_Daily_Usage_Hours,0.022230136468797932
num__Sleep_Hours_Per_Night,0.021442930449305977
num__Age,0.007157908598143423
cat__Most_Used_Platform_Instagram,0.002060756033500931
cat__Most_Used_Platform_TikTok,0.0016742068167310768
cat__Academic_Level_Undergraduate,0.0015815317573792712
cat__Relationship_Status_Single,0.0015680928214936497
cat__Relationship_Status_In Relationship,0.0015536532724316208
cat__Academic_Level_Graduate,0.001452843121247094
cat__Most_Used_Platform_Facebook,0.0014391359214704458
cat__Gender_Male,0.0013445138073184424
cat__Gender_Female,0.0012388994516294972
cat__Governorate_Fayoum,0.0008977372550290766
cat__Governorate_Port Said,0.0008891657114480499
cat__Governorate_Beheira,0.0008417130773478725
cat__Governorate_Qalyubia,0.0008079482367267092
cat__Governorate_Red Sea,0.0008054093680685501
cat__Governorate_Minya,0.0008042063192632435
cat__Governorate_Sharqia,0.0007900504389857389
cat__Governorate_Giza,0.000785111582120993
cat__Governorate_Cairo,0.0007641108018132709
cat__Governorate_Assiut,0.0007464017738514606
cat__Governorate_Ismailia,0.0007451867286846952
cat__Relationship_Status_Complicated,0.0007317902251954921
cat__Governorate_Monufia,0.0007228204656866053
cat__Governorate_Gharbia,0.0007143032833712116
cat__Governorate_Sohag,0.000694485339909595
cat__Most_Used_Platform_WhatsApp,0.0006888336456259824
cat__Governorate_Qena,0.0006882920138148123
cat__Governorate_Alexandria,0.0006791780183884322
cat__Governorate_Aswan,0.0006614104282888392
cat__Governorate_Luxor,0.0006438037080093816
cat__Governorate_Suez,0.0005774315576081774
cat__Governorate_Dakahlia,0.0005461554194934782
cat__Academic_Level_High School,0.0005446036684726295
cat__Most_Used_Platform_Twitter,0.0004995907487929311
cat__Most_Used_Platform_VKontakte,0.00042073920998398723
cat__Most_Used_Platform_LinkedIn,0.00040804727748047645
cat__Most_Used_Platform_WeChat,0.00034377070335472903
cat__Most_Used_Platform_Snapchat,0.000278596117786219
cat__Most_Used_Platform_LINE,0.00020417971417693317
cat__Most_Used_Platform_YouTube,0.00018172711903576396
cat__Most_Used_Platform_KakaoTalk,0.00016771353518407078
cat__Country_Egypt,0.0
